N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,0
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,0
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,0
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,0
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,0
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,0
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,0
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,0
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,0
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,0
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,0
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,0
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,0
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,0
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,0
60,48,39,24.28209415,80.30025587,7.042299069,231.0863347,0
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,0
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,0
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,0
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,0
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,0
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,0
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,0
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,0
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,0
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,0
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,0
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,0
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,0
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,0
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,0
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,0
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,0
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,0
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,0
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,0
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,0
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,0
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,0
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,0
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,0
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,0
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,0
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,0
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,0
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,0
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,0
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,0
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,0
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,0
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,0
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,0
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,0
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,0
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,0
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,0
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,0
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,0
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,0
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,0
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,0
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,0
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,0
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,0
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,0
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,0
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,0
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,0
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,0
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,0
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,0
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,0
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,0
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,0
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,0
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,0
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,0
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,0
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,0
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,0
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,0
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,0
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,0
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,0
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,0
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,0
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,0
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,0
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,0
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,0
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,0
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,0
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,0
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,0
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,0
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,0
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,0
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,0
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,0
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,0
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,2
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,2
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,2
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,2
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,2
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,2
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,2
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,2
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,2
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,2
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,2
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,2
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,2
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,2
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,2
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,2
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,2
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,2
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,2
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,2
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,2
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,2
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,2
